product_name,url,image1_url,image2_url,product_price,description,sale_price,old_price,original_price,current_price,color,image_url,mpn,reference_code,category_id,Stock Status,color_homogeneizado,Categoria,Tag_1,Tag_2,Tag_3
Pantalón cargo lavado,https://www.pullandbear.com/es/pantalon-cargo-lavado-l07678525?cS=802&pelement=627106269,https://static.pullandbear.net/assets/public/104d/71ac/19744008911a/0730d644dece/07678525802-M/07678525802-M.jpg?ts=1730136321453&w=438&f=auto,https://static.pullandbear.net/assets/public/1d62/4b2c/10814876ac4a/4ff701e381a2/07678525802-A2M/07678525802-A2M.jpg?ts=1730136324745&w=438&f=auto,9.99,"Pantalón cargo efecto lavado con bolsillos, cierre de cremallera y botón, y cintura con trabillas.",9.99,12.99,39.99,9.99,Gris,https://static.pullandbear.net/assets/public/0a5d/34f2/fccc4b3f91f6/efb5e327f907/07678525802-C/07678525802-C.jpg?ts=1724051463206&w=106&f=auto,7678/525,7678525.0,1030204719.0,In stock,Gris,Pantalón,Straight,Cargo,Straight
Pantalón de vestir P&B Black Label,https://www.pullandbear.com/es/pantalon-de-vestir-pb-black-label-l07678515?cS=251&pelement=627100427,https://static.pullandbear.net/assets/public/0859/a17f/25264c10af19/ae460db63015/07678515251-M/07678515251-M.jpg?ts=1725618477794&w=438&f=auto,https://static.pullandbear.net/assets/public/27e0/ecb5/4d52432682e3/732e38899752/07678515251-A2M/07678515251-A2M.jpg?ts=1725618466792&w=438&f=auto,9.99,"Pantalón de vestir tailoring con pinzas delanteras, cintura con trabillas y cierre de botón y cremallera.  Colección P&amp;B Black Label",9.99,12.99,39.99,9.99,Negro,https://static.pullandbear.net/assets/public/7ded/99e5/6e684188a2e2/dee4b4ea7a85/07678515800-C/07678515800-C.jpg?ts=1721721438862&w=106&f=auto,7678/515,7678515.0,1030204719.0,In stock,Negro,Pantalón,Color claro,Straight,Color claro
Jeans slim,https://www.pullandbear.com/es/jeans-slim-l07685506?cS=712,https://static.pullandbear.net/assets/public/9816/558e/53ea4a879085/bd522aa617bb/07685505712-M/07685505712-M.jpg?ts=1721510253537&w=438&f=auto,https://static.pullandbear.net/assets/public/3e83/8e9a/30254c2396be/b937552424e6/07685505712-A2M/07685505712-A2M.jpg?ts=1721510247696&w=438&f=auto,12.99,"Jeans slim fit con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y confeccionados en algodón ligeramente elástico.",,,,25.99,Indigo,https://static.pullandbear.net/assets/public/7b04/9987/e1354f13ba72/3732c230ed83/07685503405-C/07685503405-C.jpg?ts=1726673689556&w=106&f=auto,7685/506,7685506.0,1030574254.0,In stock,Azul claro,Pantalón,Formal,Minimalista,Elegante
Jeans loose flare,https://www.pullandbear.com/es/jeans-loose-flare-l07684532?cS=427&pelement=644456067,https://static.pullandbear.net/assets/public/4333/2a1d/71d34a6d9ff7/d85a719b5501/07684532427-M/07684532427-M.jpg?ts=1726672169266&w=438&f=auto,https://static.pullandbear.net/assets/public/5d21/3ef2/643e434da4d8/915ed4a93ab2/07684532427-A2M/07684532427-A2M.jpg?ts=1726672161016&w=438&f=auto,12.99,"Jeans loose flare con diseño de cinco bolsillos, cintura con trabillas, y cierre de cremallera y botón.",12.99,15.99,29.99,12.99,Azul medio,https://static.pullandbear.net/assets/public/5550/0bd0/bd7843279e48/09e784b2c5a4/07684532427-C/07684532427-C.jpg?ts=1725530551138&w=106&f=auto,7684/532,7684532.0,1030204729.0,In stock,Azul,Pantalón,Deportivo,Formal,Casual
Pantalón jogger balloon,https://www.pullandbear.com/es/pantalon-jogger-balloon-l03680500?cS=502&pelement=665800635,https://static.pullandbear.net/assets/public/5c19/5630/60f24f0f9dc1/2f1dbbc7a5c7/03680500502-M/03680500502-M.jpg?ts=1731571586877&w=438&f=auto,https://static.pullandbear.net/assets/public/3acd/1c41/07fc42999691/a5bf3e8c587b/03680500502-A2M/03680500502-A2M.jpg?ts=1731571600619&w=438&f=auto,9.99,"Pantalón jogger balloon con cintura elástica, cierre de botón y cremallera, y bolsillos.",9.99,12.99,25.99,9.99,Musgo,https://static.pullandbear.net/assets/public/c1f5/c449/e0774f81b9f6/995450c499b5/03680500502-C/03680500502-C.jpg?ts=1731571615584&w=106&f=auto,3680/500,3680500.0,1030204719.0,In stock,Otros,Pantalón,Cuello alto,Cuello alto,Manga corta
Pantalón jogger rayas laterales STWD,https://www.pullandbear.com/es/pantalon-jogger-rayas-laterales-stwd-l07679506?cS=400&pelement=655097192,https://static.pullandbear.net/assets/public/aab7/f4a6/cbf6424f9c46/9ae073687eda/07679506400-M/07679506400-M.jpg?ts=1726657602566&w=438&f=auto,https://static.pullandbear.net/assets/public/259e/5ce9/af5a480ebf8f/517eef2cea57/07679506400-A2M/07679506400-A2M.jpg?ts=1726657592679&w=438&f=auto,9.99,"Pantalón jogger con detalle de rayas laterales, bolsillos, cintura elástica y logo STWD bordado.",,,,22.99,Negro,https://static.pullandbear.net/assets/public/a083/283c/73de48eba4ce/1a90acb2a7b0/07679506800-C/07679506800-C.jpg?ts=1726578082011&w=106&f=auto,7679/506,7679506.0,1030574254.0,In stock,Negro,Pantalón,Manga corta,Manga larga,Ajustada
Pantalón chándal,https://www.pullandbear.com/es/pantalon-chandal-l08678508?cS=710&pelement=621954228,https://static.pullandbear.net/assets/public/3e57/bebf/67f74d7bb80f/2ddcace24562/08678508710-M/08678508710-M.jpg?ts=1728042492500&w=438&f=auto,https://static.pullandbear.net/assets/public/f9d9/d2b0/d50847f58dc2/fb442e147598/08678508710-A2M/08678508710-A2M.jpg?ts=1728042508434&w=438&f=auto,9.99,"Pantalón jogger chándal standard fit con cintura y bajos con goma elástica, cierre de cordón, detalle de bordados y bolsillo trasero con detalle de etiqueta.",9.99,12.99,19.99,9.99,Beige,https://static.pullandbear.net/2/photos//2024/I/0/2/p/8678/508/710/8678508710_1_1_8.jpg?t=1692263163623&w=106&f=auto,8678/508,8678508.0,1030204719.0,In stock,Marrón claro,Pantalón,Skater,Standard,Clásico
Pantalón chándal,https://www.pullandbear.com/es/pantalon-chandal-l07679902?cS=712&pelement=632131071,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7679/902/712/7679902712_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1729092359245&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7679/902/712/7679902712_2_2_0.jpg?imwidth=%3Awidth%3A&ts=1729092330173&w=438&f=auto,9.99,"Pantalón chándal con cintura elástica, bolsillos y bajos elásticos.",9.99,12.99,22.99,9.99,Crudo,https://static.pullandbear.net/assets/public/fe86/e4d0/377b48fea111/2351598eb7b6/07679906712-C/07679906712-C.jpg?ts=1728488500604&w=106&f=auto,7679/902,7679902.0,1030204719.0,In stock,Blanco,Pantalón,Rasgado,Bohemio,Skater
Jeans loose fit,https://www.pullandbear.com/es/jeans-loose-fit-l07685525?cS=434&pelement=652411498,https://static.pullandbear.net/assets/public/a953/2fa6/8f6b45d5ab4d/50d4d1197af3/0768552543401-M/0768552543401-M.jpg?ts=1726493052381&w=438&f=auto,https://static.pullandbear.net/assets/public/b4f5/2bee/181c4d32a721/c55d3bcc6161/0768552543401-A2M/0768552543401-A2M.jpg?ts=1726492971321&w=438&f=auto,12.99,"Jeans loose fit con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y confeccionados en tejido de algodón.",12.99,15.99,29.99,12.99,Negro delavado,https://static.pullandbear.net/assets/public/18fe/0956/20a94811953b/63a6b5962b19/07685525833-C/07685525833-C.jpg?ts=1724151105010&w=106&f=auto,7685/525,7685525.0,1030574254.0,In stock,Negro,Pantalón,Cargo,Manga larga,Ajustada
Pantalón jogger bolsillos,https://www.pullandbear.com/es/pantalon-jogger-bolsillos-l07678501?cS=251&pelement=621942572,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7678/501/251/7678501251_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1717408681710&w=438&f=auto,https://static.pullandbear.net/assets/public/e8c8/ba55/3b1645dcb522/20b559aa661f/07678501251-A2M/07678501251-A2M.jpg?ts=1717408741714&w=438&f=auto,9.99,"Pantalón jogger con bolsillos delanteros, cintura elástica con cordón y en tejido 100% algodón.",9.99,12.99,25.99,9.99,Blanco roto,https://static.pullandbear.net/assets/public/dada/deab/d90d4e748274/a7cd2da6b047/07678501251-C/07678501251-C.jpg?ts=1716972360129&w=106&f=auto,7678/501,7678501.0,1030204719.0,In stock,Blanco,Pantalón,Skater,Deportivo,Vintage
Jeans relaxed rotos,https://www.pullandbear.com/es/jeans-relaxed-rotos-l07684521?cS=434&pelement=626560959,https://static.pullandbear.net/assets/public/2ed8/3805/4c844cae825d/b57556d43339/07684521434-M/07684521434-M.jpg?ts=1726657637275&w=438&f=auto,https://static.pullandbear.net/assets/public/f715/0ca6/7d5b41f0a2ea/fa4b779db150/07684521434-A2M/07684521434-A2M.jpg?ts=1726657621997&w=438&f=auto,12.99,"Jeans relaxed con detalle de rotos en la pernera, con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y confeccionados en algodón.",12.99,15.99,29.99,12.99,Indigo claro,https://static.pullandbear.net/assets/public/ec8c/79d0/25ed4cf49e8c/be514e165f79/07684521434-C/07684521434-C.jpg?ts=1725023269132&w=106&f=auto,7684/521,7684521.0,1030204729.0,In stock,Azul claro,Pantalón,Streetwear,Skinny,Monocromático
Jeans super baggy,https://www.pullandbear.com/es/jeans-super-baggy-l07684511?cS=407&pelement=621942843,https://static.pullandbear.net/assets/public/14d9/73e9/6bd544e5bd81/c63d85fad3a4/07684511407-M/07684511407-M.jpg?ts=1723449127712&w=438&f=auto,https://static.pullandbear.net/assets/public/6805/3d57/00b6435ba2fb/305a28d01830/07684511407-A2M/07684511407-A2M.jpg?ts=1723449116689&w=438&f=auto,12.99,"Jeans super baggy con cintura con trabillas, diseño de cinco bolsillos y cierre de cremallera y botón.",12.99,15.99,35.99,12.99,Indigo claro,https://static.pullandbear.net/assets/public/ca49/44c5/a179427eafb1/c346c0586685/07684511434-C/07684511434-C.jpg?ts=1730912223040&w=106&f=auto,7684/511,7684511.0,1030204729.0,In stock,Azul claro,Pantalón,Chándal,Sin mangas,Sin mangas
